# Point1	Point2	Point3
253	236	237
237	254	253
243	242	225
225	226	243
225	242	241
241	224	225
206	189	207
189	190	207
207	223	206
224	223	207
229	212	213
229	213	230
211	212	229
229	228	211
229	247	246
230	247	229
246	245	229
245	228	229
196	197	214
214	213	196
214	197	198
198	215	214
214	231	230
230	213	214
232	231	214
214	215	232
216	199	200
216	200	217
198	199	216
216	215	198
216	234	233
217	234	216
216	233	232
232	215	216
459	476	475
458	459	475
475	476	493
493	492	475
492	491	475
491	474	475
489	488	471
471	472	489
471	488	487
487	470	471
485	468	469
469	486	485
487	486	469
469	470	487
468	451	469
469	451	452
436	418	419
435	418	436
435	434	417
417	418	435
433	451	450
434	451	433
450	449	433
433	449	432
367	368	385
385	384	367
383	366	367
384	383	367
400	383	401
401	383	384
418	417	401
401	417	400
405	404	387
405	387	388
422	421	405
405	421	404
405	423	422
405	406	423
407	408	425
425	424	407
407	424	423
423	406	407
391	408	407
407	390	391
356	340	357
356	339	340
371	372	389
388	371	389
389	405	388
406	405	389
389	407	406
390	407	389
370	386	369
387	386	370
388	387	370
370	371	388
334	335	352
352	351	334
369	368	352
352	368	351
352	370	369
353	370	352
336	352	335
353	352	336
318	319	336
336	335	318
331	348	347
330	331	347
347	346	329
347	329	330
365	364	347
347	348	365
364	363	347
363	346	347
313	297	314
313	296	297
313	312	295
295	296	313
314	331	313
313	331	330
329	312	313
330	329	313
302	303	320
320	319	302
320	303	304
304	321	320
320	336	319
337	336	320
208	191	192
192	209	208
208	190	191
208	207	190
208	209	226
226	225	208
208	225	224
224	207	208
458	475	457
457	475	474
457	441	458
457	440	441
455	456	473
472	455	473
473	457	474
456	457	473
473	490	489
489	472	473
473	491	490
473	474	491
439	456	455
439	455	438
440	457	439
439	457	456
439	421	422
438	421	439
423	440	439
422	423	439
438	455	454
454	437	438
472	471	454
454	455	472
420	436	419
437	436	420
420	421	438
438	437	420
420	403	404
404	421	420
416	398	399
415	398	416
399	400	416
400	417	416
416	432	415
416	433	432
416	417	434
434	433	416
368	367	350
351	368	350
334	351	350
350	333	334
385	386	402
386	403	402
402	384	385
402	401	384
402	420	419
403	420	402
419	418	402
418	401	402
357	374	373
373	356	357
373	374	391
391	390	373
373	389	372
390	389	373
338	320	321
337	320	338
322	339	338
338	321	322
354	370	353
371	370	354
353	336	354
354	336	337
453	469	452
470	469	453
453	471	470
453	454	471
453	452	435
435	436	453
437	454	453
453	436	437
349	366	365
365	348	349
349	367	366
349	350	367
349	348	331
349	331	332
332	333	349
333	350	349
355	373	372
356	373	355
355	372	371
371	354	355
339	356	355
355	338	339
337	338	355
355	354	337
